Repeat,RepeatModeler Classification,Class,Sub-Class,Super-Family,Notes
[rnd-1_family-25,DNA/hAT-Blackjack,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 8.]
[rnd-1_family-302,DNA/hAT-hAT5,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 4.]
[rnd-1_family-6,RC/Helitron,C(T-> ii),SC(H-> dna transposon helitron T-> helitron),SF(),Palindrome length is 10.]
[rnd-1_family-22,DNA/Maverick,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-409,LINE/L2,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 43.]
[rnd-1_family-361,DNA/TcMar-Tigger,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 27.]
[rnd-1_family-265,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-253,DNA/MULE-MuDR,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 17.]
[rnd-1_family-261,LINE/RTE-BovB,C(S_SSR-> i),SC(H-> non-ltr retrotransposon S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is TAC.]
[rnd-1_family-247,DNA/MULE-MuDR,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 64.]
[rnd-1_family-175,DNA/TcMar,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 52.]
[rnd-1_family-289,DNA/hAT-Tip100,C(T-> ii),SC(T-> helitron),SF(),Palindrome length is 10.]
[rnd-1_family-228,DNA/PIF-Harbinger,C(T-> ii),SC(T-> helitron),SF(),Palindrome length is 12.]
[rnd-1_family-242,LTR/Copia,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> unknown),TSD consensus length is 6.TIR consensus length is 97.]
[rnd-1_family-300,DNA,C(T-> ii),SC(T-> helitron),SF(),Palindrome length is 10.]
[rnd-1_family-249,LTR/Gypsy,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-327,DNA/hAT-Tip100,C(T-> ii),SC(T-> dna transposon),SF(T-> is630/tc1/mariner),TSD consensus length is 2.]
[rnd-1_family-54,LTR/ERV4,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 24.]
[rnd-1_family-58,SINE/tRNA,C(),SC(H-> non-ltr retrotransposon dna transposon),SF(H-> sine),-]
[rnd-1_family-171,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-24,LTR/Gypsy,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> helitron),SF(),No TSD consensus. Maximum TSD length is 10.TIR consensus length is 90.]
[rnd-1_family-381,LTR/Copia,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.]
[rnd-1_family-312,Unknown,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 15.]
[rnd-1_family-295,DNA/CMC-EnSpm,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is CC.]
[rnd-1_family-19,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 42.]
[rnd-1_family-218,LTR/Pao,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 87.]
[rnd-1_family-139,DNA/hAT-Pegasus,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 227.]
[rnd-1_family-303,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 74.]
[rnd-1_family-210,DNA,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 13.]
[rnd-1_family-357,LTR/DIRS,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-229,DNA,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-168,DNA/TcMar,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 25.]
[rnd-1_family-213,SINE/MIR,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is ATAA]
[rnd-1_family-410,DNA/hAT-Ac,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 40.]
[rnd-1_family-88,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 25.]
[rnd-1_family-226,DNA/PIF-Harbinger,C(T-> ii),SC(T-> helitron),SF(),Palindrome length is 12.]
[rnd-1_family-325,LTR/Gypsy,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> is256/mutator/fb),TSD consensus length is 9.TIR consensus length is 97.]
[rnd-1_family-4,LINE/Jockey,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 435.]
[rnd-1_family-1,RC/Helitron,C(),SC(H-> helitron),SF(),-]
[rnd-1_family-343,DNA,C(T-> ii),SC(H-> dna transposon T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-9,RC/Helitron,C(),SC(H-> helitron),SF(),-]
[rnd-1_family-189,LTR/Gypsy,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(),No TSD consensus. Maximum TSD length is 2.TIR consensus length is 55.]
[rnd-1_family-155,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 31.]
[rnd-1_family-82,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 28.]
[rnd-1_family-274,DNA/TcMar-Pogo,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-198,DNA/PIF-Harbinger,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 118.]
[rnd-1_family-74,LTR/ERV1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 189.]
[rnd-1_family-231,DNA,C(S_TIR-> ii),SC(H-> dna transposon S_TIR-> dna transposon),SF(),TIR consensus length is 44.]
[rnd-1_family-258,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 55.]
[rnd-1_family-158,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 303.]
[rnd-1_family-306,DNA,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 8.]
[rnd-1_family-275,DNA,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-164,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-316,LTR/Copia,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 18.]
[rnd-1_family-97,DNA,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-104,Unknown,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),No TSD consensus. Maximum TSD length is 3.]
[rnd-1_family-125,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 25.]
[rnd-1_family-190,DNA/PiggyBac,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is CC.]
[rnd-1_family-329,LTR/Copia,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is CC.]
[rnd-1_family-16,DNA/PiggyBac,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 252.]
[rnd-1_family-136,DNA/CMC-EnSpm,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> is630/tc1/mariner),TSD consensus length is 2.TIR consensus length is 93.]
[rnd-1_family-72,RC/Helitron,C(),SC(H-> helitron),SF(),-]
[rnd-1_family-159,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 135.]
[rnd-1_family-138,SINE/tRNA,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-]
[rnd-1_family-50,LTR/Pao,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.]
[rnd-1_family-121,DNA/PiggyBac,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 61.]
[rnd-1_family-193,LTR/Gypsy,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-208,DNA/PIF-Harbinger,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 74.]
[rnd-1_family-20,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 100.]
[rnd-1_family-67,LTR/Pao,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-362,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-]
[rnd-1_family-206,SINE/MIR,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is AAT.]
[rnd-1_family-233,DNA,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-84,DNA,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-202,DNA/TcMar-Tc1,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-330,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 38.]
[rnd-1_family-232,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 67.]
[rnd-1_family-14,RC/Helitron,C(),SC(H-> helitron),SF(),-]
[rnd-1_family-215,DNA/Sola,C(S_TIR-> ii),SC(H-> dna transposon S_TIR-> dna transposon),SF(),TIR consensus length is 18.]
[rnd-1_family-140,Unknown,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-286,DNA,C(T-> ii),SC(T-> dna transposon),SF(T-> is256/mutator/fb),No TSD consensus. Maximum TSD length is 11.]
[rnd-1_family-137,DNA,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-399,LINE/RTE-BovB,C(),SC(H-> non-ltr retrotransposon),SF(),-]
[rnd-1_family-352,DNA/hAT-Tag1,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-63,LTR,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 29.]
[rnd-1_family-263,DNA,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-13,LTR/Copia,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 210.]
[rnd-1_family-223,SINE/tRNA,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-]
[rnd-1_family-260,DNA/hAT,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> unknown),TSD consensus length is 6.TIR consensus length is 19.]
[rnd-1_family-334,LINE/I,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(),TSD consensus length is 2.TIR consensus length is 32.]
[rnd-1_family-314,SINE/MIR,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is TTA.]
[rnd-1_family-141,LTR/Pao,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 29.]
[rnd-1_family-76,DNA,C(),SC(H-> dna transposon),SF(H-> piggybac),-]
[rnd-1_family-18,buffer,C(),SC(H-> helitron),SF(),-]
[rnd-1_family-305,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 53.]
[rnd-1_family-17,DNA/PiggyBac,C(S_TIR-> ii),SC(H-> dna transposon S_TIR-> dna transposon),SF(H-> piggybac),TIR consensus length is 198.]
[rnd-1_family-147,DNA,C(T-> ii),SC(T-> helitron),SF(),No TSD consensus. Maximum TSD length is 14.]
[rnd-1_family-207,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 38.]
[rnd-1_family-59,DNA/TcMar,C(S_TIR-> ii),SC(H-> dna transposon S_TIR-> dna transposon),SF(),TIR consensus length is 28.]
[rnd-1_family-55,LTR/Pao,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 28.]
[rnd-1_family-148,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 17.]
[rnd-1_family-56,DNA/Maverick,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-353,rRNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 22.]
[rnd-1_family-150,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 17.]
[rnd-1_family-390,LTR/Copia,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 165.]
[rnd-1_family-176,DNA/hAT,C(T-> ii),SC(T-> helitron),SF(),No TSD consensus. Maximum TSD length is 12.]
[rnd-1_family-38,RC/Helitron,C(S_SSR-> i),SC(H-> helitron S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 7.]
[rnd-1_family-358,DNA,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 8.]
[rnd-1_family-8,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 289.]
[rnd-1_family-307,SINE/MIR,C(S_SSR-> i),SC(H-> non-ltr retrotransposon S_SSR-> non-ltr retrotransposon),SF(H-> sine),Short sequence repeated is ATT.]
[rnd-1_family-239,DNA,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is CC.]
[rnd-1_family-241,RC/Helitron,C(),SC(H-> helitron),SF(),-]
[rnd-1_family-209,LINE/L1,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-57,DNA/hAT,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is CC.]
[rnd-1_family-129,DNA/TcMar,C(S_TIR-> ii),SC(H-> dna transposon S_TIR-> dna transposon),SF(),TIR consensus length is 125.]
[rnd-1_family-45,DNA/TcMar-Tc1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 44.]
[rnd-1_family-133,SINE/tRNA,C(S_SSR-> i),SC(H-> non-ltr retrotransposon S_SSR-> non-ltr retrotransposon),SF(H-> sine),Short sequence repeated is TTA.]
[rnd-1_family-375,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 32.]
[rnd-1_family-331,LTR/Gypsy,C(T-> ii),SC(T-> dna transposon),SF(T-> is256/mutator/fb),TSD consensus length is 9.]
[rnd-1_family-87,RC/Helitron,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 42.]
[rnd-1_family-177,RC/Helitron,C(),SC(H-> helitron),SF(),-]
[rnd-1_family-320,LINE,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-195,Unknown,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),No TSD consensus. Maximum TSD length is 5.]
[rnd-1_family-26,DNA/PiggyBac,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-109,LTR/Pao,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 8.]
[rnd-1_family-395,DNA/hAT-Tip100,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-378,DNA/TcMar-Tigger,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 25.]
[rnd-1_family-205,DNA,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-34,Simple_repeat,C(S_LTR-> i S_SSR-> i),SC(S_LTR-> Short Terminal Repeat S_SSR-> non-ltr retrotransposon),SF(),Terminal Repeat consensus length is 8.Short sequence repeated is ATC.]
[rnd-1_family-120,DNA,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-423,Satellite,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-214,DNA,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-427,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 32.]
[rnd-1_family-431,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 87.]
[rnd-1_family-433,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 20.]
[rnd-1_family-434,LINE/RTE-BovB,C(T-> ii),SC(H-> non-ltr retrotransposon T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-442,DNA/Kolobok-Hydra,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> is256/mutator/fb),TSD consensus length is 10.TIR consensus length is 43.]
[rnd-1_family-130,DNA/MULE-MuDR,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 198.]
[rnd-1_family-366,LTR/Copia,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.]
[rnd-1_family-452,DNA/hAT-Ac,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.]
[rnd-1_family-454,Unknown,C(T-> i S_LTR-> i),SC(T-> ltr retrotransposon S_LTR-> Short Terminal Repeat),SF(T-> ty3/gypsy ty1/copia retroviral),No TSD consensus. Maximum TSD length is 4.Terminal Repeat consensus length is 12.]
[rnd-1_family-456,DNA/PIF-Harbinger,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 30.]
[rnd-1_family-461,LTR/Gypsy,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is GG.]
[rnd-1_family-468,DNA/PIF-Harbinger,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 165.]
[rnd-1_family-480,DNA/hAT-Blackjack,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),No TSD consensus. Maximum TSD length is 7.]
[rnd-1_family-484,DNA,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.]
[rnd-1_family-490,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 25.]
[rnd-1_family-498,DNA/Academ,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-499,LTR/Gypsy,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 7.]
[rnd-1_family-494,LTR/ERVK,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is GTGT.]
[rnd-1_family-509,LTR/Gypsy,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.TIR consensus length is 61.]
[rnd-1_family-511,DNA/hAT-hATw,C(S_TIR-> ii T-> i),SC(S_TIR-> dna transposon T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 4.TIR consensus length is 46.]
[rnd-1_family-513,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 86.]
[rnd-1_family-516,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 181.]
[rnd-1_family-522,Unknown,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.TIR consensus length is 273.]
[rnd-1_family-517,LINE/L2,C(S_SSR-> i),SC(H-> non-ltr retrotransposon S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is TTA.]
[rnd-1_family-526,Unknown,C(),SC(H-> non-ltr retrotransposon),SF(),-]
[rnd-1_family-530,DNA/hAT-Blackjack,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 6.]
[rnd-1_family-549,LTR/Gypsy,C(),SC(H-> non-ltr retrotransposon),SF(),-]
[rnd-1_family-558,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 96.]
[rnd-1_family-565,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 100.]
[rnd-1_family-566,Unknown,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.TIR consensus length is 47.]
[rnd-1_family-560,DNA,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-567,DNA/TcMar-Tigger,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 8.]
[rnd-1_family-571,DNA/hAT-hAT5,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-573,LTR/Gypsy,C(T-> ii),SC(T-> helitron),SF(),No TSD consensus. Maximum TSD length is 2.]
[rnd-1_family-574,LINE/L1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 85.]
[rnd-1_family-580,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 80.]
[rnd-1_family-581,LINE,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 26.]
[rnd-1_family-588,SINE/MIR,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is TAT.]
[rnd-1_family-578,Unknown,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 10.]
[rnd-1_family-593,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-]
[rnd-1_family-594,DNA/hAT-Tip100,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is CC.]
[rnd-1_family-577,Unknown,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.TIR consensus length is 66.]
[rnd-1_family-598,LINE/RTE-BovB,C(),SC(H-> non-ltr retrotransposon),SF(),-]
[rnd-1_family-600,DNA/Academ,C(),SC(H-> dna transposon),SF(),-]
[rnd-1_family-602,DNA/IS3EU,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 26.]
[rnd-1_family-606,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 20.]
[rnd-1_family-607,DNA,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is GTCTC.]
[rnd-1_family-611,DNA,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 13.]
[rnd-1_family-613,buffer,C(S_TIR-> ii S_SSR-> i),SC(S_TIR-> dna transposon S_SSR-> non-ltr retrotransposon),SF(),TIR consensus length is 53.Short sequence repeated is ACGGT.]
[rnd-1_family-617,DNA/Academ,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.]
[rnd-1_family-618,LINE/L1,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),No TSD consensus. Maximum TSD length is 6.]
[rnd-1_family-634,DNA,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),No TSD consensus. Maximum TSD length is 16.]
[rnd-1_family-635,LINE/RTE-RTE,C(T-> ii S_SSR-> i),SC(H-> non-ltr retrotransposon T-> dna transposon S_SSR-> non-ltr retrotransposon),SF(),TSD consensus length is 2.Short sequence repeated is TGA.]
