Repeat,RepeatModeler Classification,Class,Sub-Class,Super-Family,Notes
rnd-1_family-475,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-485,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-489,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-490,Unknown,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.TIR consensus length is 46
rnd-1_family-462,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-500,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-503,LTR/ERV1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 30.
rnd-1_family-506,LTR/Gypsy,C(T-> ii S_LTR-> i),SC(T-> dna transposon S_LTR-> Short Terminal Repeat),SF(),No TSD consensus. Maximum TSD length is 2.Terminal Repeat consensus length is 25.
rnd-1_family-510,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-518,LTR/Gypsy,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),No TSD consensus. Maximum TSD length is 5.
rnd-1_family-524,LTR/Copia,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is AATTC.
rnd-1_family-528,DNA/Academ,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-532,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 62.
rnd-1_family-537,LTR/Gypsy,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-541,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-542,DNA/CMC-Transib,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-544,DNA/Academ,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-545,DNA/CMC-EnSpm,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.
rnd-1_family-559,LINE/L2,C(S_SSR-> i),SC(H-> non-ltr retrotransposon S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is TAA.
rnd-1_family-566,LTR/Copia,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 21.
rnd-1_family-578,Unknown,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is TGATG.
rnd-1_family-583,LTR/Copia,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 5.
rnd-1_family-584,LTR/Gypsy,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 7.
rnd-1_family-594,Unknown,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),No TSD consensus. Maximum TSD length is 3.
rnd-1_family-596,LINE/L2,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is AAAT.
rnd-1_family-598,LTR/Copia,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.TIR consensus length is 46
rnd-1_family-613,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 28.
rnd-1_family-619,RC/Helitron,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(),TSD consensus length is 2.TIR consensus length is 43.
rnd-1_family-625,Unknown,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 40.
rnd-1_family-630,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),No TSD consensus. Maximum TSD length is 2.
rnd-1_family-633,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-646,LTR,C(T-> ii),SC(T-> helitron),SF(),TSD consensus length is 2.
rnd-1_family-661,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-662,Unknown,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 5.
rnd-1_family-669,LINE/CR1,C(T-> ii),SC(H-> non-ltr retrotransposon T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.
rnd-1_family-676,DNA/CMC-Transib,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 8.
rnd-1_family-668,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 22.
rnd-1_family-677,LTR/ERV1,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),Palindrome length is 16.
rnd-1_family-679,DNA/Academ,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-681,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 113.
rnd-1_family-683,Unknown,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 5.
rnd-1_family-686,LTR,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 14.
rnd-1_family-689,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-708,LTR/Gypsy,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 8.
rnd-1_family-732,DNA/hAT-Blackjack,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-734,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-1_family-737,DNA,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.
rnd-1_family-739,Unknown,C(T-> ii),SC(T-> helitron),SF(),No TSD consensus. Maximum TSD length is 10.
rnd-1_family-763,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-765,DNA/hAT-Ac,C(T-> ii),SC(T-> dna transposon),SF(T-> is630/tc1/mariner),TSD consensus length is 2.
rnd-1_family-776,LTR/Copia,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-783,Unknown,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),No TSD consensus. Maximum TSD length is 4.
rnd-1_family-792,DNA/PIF-Harbinger,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-795,Unknown,C(S_TIR-> ii S_LTR-> i),SC(S_TIR-> dna transposon S_LTR-> Short Terminal Repeat),SF(),TIR consensus length is 24.Terminal Repeat consensus length is 16.
rnd-1_family-805,DNA/hAT-Blackjack,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-813,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-832,DNA/hAT-Ac,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 84.
rnd-1_family-835,DNA,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-838,LTR/Gypsy,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 7.
rnd-1_family-854,DNA,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-855,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-857,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-867,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-874,Unknown,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 10.
rnd-1_family-879,LINE/L1,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 5.
rnd-1_family-888,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-894,DNA/PIF-Harbinger,C(),SC(H-> dna transposon),SF(),-
rnd-2_family-164,DNA/PiggyBac,C(S_TIR-> ii T-> ii),SC(H-> dna transposon S_TIR-> dna transposon T-> dna transposon),SF(T-> is5/pif/harbinger is630/tc1/mariner),TSD consensus length is 3.TIR consensus length is 244.
rnd-2_family-49,DNA/PiggyBac,C(S_TIR-> ii),SC(H-> dna transposon S_TIR-> dna transposon),SF(H-> piggybac),TIR consensus length is 144.
rnd-2_family-353,Satellite,C(T-> ii),SC(T-> dna transposon),SF(),No TSD consensus. Maximum TSD length is 2.
rnd-2_family-89,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-2_family-117,SINE/MIR,C(S_SSR-> i),SC(H-> non-ltr retrotransposon S_SSR-> non-ltr retrotransposon),SF(H-> sine),Short sequence repeated is TAT.
rnd-2_family-173,DNA/PiggyBac,C(S_TIR-> ii),SC(H-> dna transposon S_TIR-> dna transposon),SF(),TIR consensus length is 249.
rnd-2_family-106,LINE/CR1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 77.
rnd-2_family-242,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 72.
rnd-3_family-77,SINE/MIR,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine),-
rnd-3_family-97,DNA/PiggyBac,C(),SC(H-> dna transposon),SF(H-> piggybac),-
rnd-3_family-98,buffer,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is TCA.
rnd-3_family-303,DNA,C(T-> ii),SC(H-> dna transposon T-> dna transposon),SF(),TSD consensus length is 2.
rnd-3_family-153,DNA/PiggyBac,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 153.
rnd-3_family-48,LTR/Gypsy,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(),TSD consensus length is 2.TIR consensus length is 60.
rnd-3_family-132,DNA/hAT-Blackjack,C(S_TIR-> ii T-> i),SC(S_TIR-> dna transposon T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),No TSD consensus. Maximum TSD length is 4.TIR consensus length is 69.
rnd-3_family-100,DNA/PiggyBac,C(),SC(H-> dna transposon),SF(),-
rnd-4_family-51,DNA/CMC-EnSpm,C(S_LTR-> i S_SSR-> i),SC(S_LTR-> Short Terminal Repeat S_SSR-> non-ltr retrotransposon),SF(),Terminal Repeat consensus length is 8.Short sequence repeated is TGA.
