Repeat,RepeatModeler Classification,Class,Sub-Class,Super-Family,Notes
rnd-1_family-441,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-16,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 210.
rnd-1_family-366,LTR/Gypsy,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 10.
rnd-1_family-361,DNA/Zator,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 26.
rnd-1_family-201,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 94.
rnd-1_family-53,LINE/L2,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 34.
rnd-1_family-465,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 27.
rnd-1_family-13,LINE/L1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 450.
rnd-1_family-244,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-219,LINE/L2,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.TIR consensus length is 58.
rnd-1_family-156,DNA/hAT-Tip100,C(T-> ii),SC(T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.
rnd-1_family-168,SINE/tRNA-V,C(S_SSR-> i),SC(H-> non-ltr retrotransposon S_SSR-> non-ltr retrotransposon),SF(H-> sine H-> sine),Short sequence repeated is TTA.
rnd-1_family-100,LINE/RTE-BovB,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 21.
rnd-1_family-344,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 22.
rnd-1_family-250,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 25.
rnd-1_family-377,DNA/hAT-Charlie,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.
rnd-1_family-17,DNA/TcMar-Tigger,C(T-> i S_LTR-> i),SC(T-> ltr retrotransposon S_LTR-> Short Terminal Repeat),SF(T-> ty3/gypsy ty1/copia retroviral),No TSD consensus. Maximum TSD length is 6.Terminal Repeat consensus length is 46.
rnd-1_family-329,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 44.
rnd-1_family-209,DNA/TcMar-Tc1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 136.
rnd-1_family-389,DNA/Sola,C(T-> ii),SC(T-> dna transposon),SF(T-> is630/tc1/mariner),No TSD consensus. Maximum TSD length is 2.
rnd-1_family-418,LTR/Gypsy,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.TIR consensus length is 47.
rnd-1_family-186,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 20.
rnd-1_family-210,LTR/Gypsy,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 4.
rnd-1_family-106,DNA/Academ,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is CC.
rnd-1_family-182,DNA/Zator,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 28.
rnd-1_family-24,DNA,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> transib),TSD consensus length is 5.TIR consensus length is 43.
rnd-1_family-269,LINE/L2,C(S_SSR-> i),SC(H-> non-ltr retrotransposon S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is TGATA.
rnd-1_family-309,DNA/hAT-Tip100,C(T-> ii S_LTR-> i),SC(T-> dna transposon S_LTR-> Short Terminal Repeat),SF(),TSD consensus length is 2.Terminal Repeat consensus length is 33.
rnd-1_family-470,DNA/P,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 17.
rnd-1_family-77,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 30.
rnd-1_family-43,DNA/MULE-NOF,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 41.
rnd-1_family-15,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 45.
rnd-1_family-2,DNA/hAT-Tag1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 346.
rnd-1_family-257,LTR/Gypsy,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 5.
rnd-1_family-315,LTR/DIRS,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 11.
rnd-1_family-95,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 25.
rnd-1_family-150,LTR/Pao,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 342.
rnd-1_family-196,Unknown,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.
rnd-1_family-286,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 33.
rnd-1_family-294,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 198.
rnd-1_family-35,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 49.
rnd-1_family-424,LTR/Copia,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 55.
rnd-1_family-267,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 91.
rnd-1_family-225,LTR/Copia,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 31.
rnd-1_family-162,LTR,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 45.
rnd-1_family-112,SINE/MIR,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is ATT.
rnd-1_family-69,DNA/hAT-Ac,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 73.
rnd-1_family-233,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 44.
rnd-1_family-248,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 90.
rnd-1_family-384,LTR/DIRS,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 59.
rnd-1_family-278,LTR/Gypsy,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> hat p is1016/merlin),TSD consensus length is 8.TIR consensus length is 17.
rnd-1_family-409,LTR/Copia,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is AAATT.
rnd-1_family-276,LINE/L1-Tx1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 28.
rnd-1_family-68,DNA,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),No TSD consensus. Maximum TSD length is 5.
rnd-1_family-167,SINE/MIR,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is ATTG.
rnd-1_family-29,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 50.
rnd-1_family-381,LTR/Pao,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 33.
rnd-1_family-368,DNA/CMC-EnSpm,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 75.
rnd-1_family-22,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 42.
rnd-1_family-288,LTR/Copia,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 17.
rnd-1_family-442,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 57.
rnd-1_family-129,RC/Helitron,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 20.
rnd-1_family-218,LINE/L2,C(T-> i),SC(H-> non-ltr retrotransposon T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 4.
rnd-1_family-66,DNA/CMC-EnSpm,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 20.
rnd-1_family-298,DNA/CMC-EnSpm,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 118.
rnd-1_family-40,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 44.
rnd-1_family-120,LTR/Ngaro,C(),SC(H-> non-ltr retrotransposon),SF(H-> sine H-> sine),-
rnd-1_family-10,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 455.
rnd-1_family-277,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 274.
rnd-1_family-109,LTR,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 24.
rnd-1_family-354,LTR,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 35.
rnd-1_family-478,LTR/Pao,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 7.
rnd-1_family-451,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 31.
rnd-1_family-387,LINE/RTE-BovB,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-376,LTR,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 74.
rnd-1_family-410,LTR/Gypsy,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 4.
rnd-1_family-52,DNA/Kolobok-Hydra,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 41.
rnd-1_family-272,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 29.
rnd-1_family-205,SINE/MIR,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 5.
rnd-1_family-392,LINE/L2,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 72.
rnd-1_family-502,DNA/hAT-Tip100,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 91.
rnd-1_family-397,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-346,LTR/Copia,C(T-> ii),SC(T-> dna transposon),SF(T-> is630/tc1/mariner),No TSD consensus. Maximum TSD length is 2.
rnd-1_family-491,DNA/P,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 48.
rnd-1_family-506,LTR/Gypsy,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Short sequence repeated is AAAC.
rnd-1_family-511,Unknown,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 10.
rnd-1_family-512,DNA/Kolobok-T2,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> is630/tc1/mariner),TSD consensus length is 2.TIR consensus length is 306.
rnd-1_family-516,DNA/Zator,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 30.
rnd-1_family-524,LTR/Pao,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 141.
rnd-1_family-519,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-530,LTR/Gypsy,C(S_TIR-> ii T-> ii),SC(S_TIR-> dna transposon T-> dna transposon),SF(T-> is256/mutator/fb),TSD consensus length is 9.TIR consensus length is 62.
rnd-1_family-535,Unknown,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 133.
rnd-1_family-537,RC/Helitron,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 6.
rnd-1_family-539,LINE/R1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 38.
rnd-1_family-540,LTR/Copia,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 74.
rnd-1_family-542,LTR/Gypsy,C(T-> ii),SC(T-> dna transposon),SF(T-> is256/mutator/fb),TSD consensus length is 9.
rnd-1_family-556,DNA/hAT-hAT5,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 6.
rnd-1_family-557,DNA/TcMar-Tc1,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-558,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 60.
rnd-1_family-560,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-561,DNA/Zator,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 64.
rnd-1_family-531,LINE/L2,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.
rnd-1_family-564,Unknown,C(T-> ii),SC(T-> dna transposon),SF(),TSD consensus length is 2.
rnd-1_family-568,Unknown,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 6.
rnd-1_family-569,LTR,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 31.
rnd-1_family-575,DNA/hAT-Tag1,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 6.
rnd-1_family-576,DNA/Sola,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-577,LTR,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 5.
rnd-1_family-580,LINE/L2,C(),SC(H-> non-ltr retrotransposon),SF(),-
rnd-1_family-578,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 66.
rnd-1_family-583,Unknown,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.
rnd-1_family-584,DNA/hAT-Tag1,C(S_TIR-> ii T-> i),SC(S_TIR-> dna transposon T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 4.TIR consensus length is 95.
rnd-1_family-585,DNA/Sola,C(),SC(H-> dna transposon),SF(),-
rnd-1_family-587,DNA/Sola,C(T-> ii),SC(T-> dna transposon),SF(T-> cacta/en/spm is5/pif/harbinger),TSD consensus length is 3.
rnd-1_family-592,DNA/TcMar-Fot1,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),Palindrome length is 16.
rnd-1_family-595,LINE/L1,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 177.
rnd-1_family-597,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 58.
rnd-1_family-601,LTR/Pao,C(T-> i),SC(T-> ltr retrotransposon),SF(T-> ty3/gypsy ty1/copia retroviral),TSD consensus length is 4.
rnd-1_family-602,DNA/hAT-hAT5,C(S_LTR-> i),SC(S_LTR-> Short Terminal Repeat),SF(),Terminal Repeat consensus length is 10.
rnd-1_family-603,LTR/Gypsy,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 40.
rnd-1_family-604,LTR/Copia,C(S_SSR-> i),SC(S_SSR-> non-ltr retrotransposon),SF(),Poly A trail length is 13.
rnd-1_family-605,DNA,C(S_TIR-> ii),SC(S_TIR-> dna transposon),SF(),TIR consensus length is 32.
